country,country_code,year_week,age_group,new_cases,population,rate_14_day_per_100k,source
Austria,AT,2020-09,<15yr,0,1278692,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-10,<15yr,0,1278692,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-11,<15yr,10,1278692,0.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-12,<15yr,58,1278692,5.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-13,<15yr,156,1278692,16.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-14,<15yr,104,1278692,20.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-15,<15yr,54,1278692,12.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-16,<15yr,14,1278692,5.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-17,<15yr,21,1278692,2.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-18,<15yr,20,1278692,3.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-19,<15yr,6,1278692,2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-20,<15yr,26,1278692,2.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-21,<15yr,25,1278692,4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-22,<15yr,28,1278692,4.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-23,<15yr,33,1278692,4.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-24,<15yr,22,1278692,4.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-25,<15yr,32,1278692,4.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-26,<15yr,42,1278692,5.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-27,<15yr,109,1278692,11.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-28,<15yr,59,1278692,13.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-29,<15yr,95,1278692,12,"TESSy COVID-19, national weekly data"
Austria,AT,2020-30,<15yr,82,1278692,13.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-31,<15yr,75,1278692,12.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-32,<15yr,53,1278692,10,"TESSy COVID-19, national weekly data"
Austria,AT,2020-33,<15yr,77,1278692,10.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-34,<15yr,130,1278692,16.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-35,<15yr,177,1278692,24,"TESSy COVID-19, national weekly data"
Austria,AT,2020-36,<15yr,228,1278692,31.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-37,<15yr,387,1278692,48.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-38,<15yr,512,1278692,70.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-39,<15yr,470,1278692,76.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-40,<15yr,615,1278692,84.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-41,<15yr,840,1278692,113.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-42,<15yr,986,1278692,142.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-43,<15yr,1367,1278692,184,"TESSy COVID-19, national weekly data"
Austria,AT,2020-44,<15yr,1877,1278692,253.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-45,<15yr,2039,1278692,306.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-46,<15yr,2921,1278692,387.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-47,<15yr,2643,1278692,435.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-48,<15yr,1879,1278692,353.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-49,<15yr,1225,1278692,242.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-50,<15yr,1006,1278692,174.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-51,<15yr,959,1278692,153.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-52,<15yr,873,1278692,143.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-53,<15yr,805,1278692,131.2,"TESSy COVID-19, national weekly data"
Austria,AT,2021-01,<15yr,735,1278692,120.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-02,<15yr,518,1278692,98,"TESSy COVID-19, national weekly data"
Austria,AT,2021-03,<15yr,693,1278692,94.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-04,<15yr,754,1278692,113.2,"TESSy COVID-19, national weekly data"
Austria,AT,2021-05,<15yr,789,1278692,120.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-09,15-24yr,4,969767,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-10,15-24yr,14,969767,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-11,15-24yr,103,969767,12.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-12,15-24yr,286,969767,40.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-13,15-24yr,435,969767,74.3,"TESSy COVID-19, national weekly data"
